=== РАСПРЕДЕЛЕНИЕ ВЕРОЯТНОСТЕЙ ===
State;Empirical;Theoretical;Error
Ясно;0.2894;0.3049;0.0155
Облачно;0.4296;0.4146;0.0150
Пасмурно;0.2810;0.2805;0.0005

=== СТАТИСТИКА ПОСЕЩЕНИЙ ===
State;VisitCount;TotalTime(hours)
Ясно;780;2893.80
Облачно;1494;4295.85
Пасмурно;1003;2810.35

=== МАТ.ОЖИДАНИЕ И ДИСПЕРСИЯ ВРЕМЕНИ ПРЕБЫВАНИЯ ===
State;Mean_empirical(hours);Variance_empirical(hours^2);Mean_theoretical(hours);Variance_theoretical(hours^2)
Ясно;3.7100;15.4724;4.0000;16.0000
Облачно;2.8754;8.1691;2.8571;8.1633
Пасмурно;2.8019;7.1166;2.8571;8.1633
